strategy,faith_median,ctx_prec_median,ctx_recall_median,ans_rel_median,ac_median,n_quality,recall5_median,ndcg5_median,n_retrieval,lat_median_ms,n_latency,faith_mean,ctx_prec_mean,ctx_recall_mean,ans_rel_mean,ac_mean,recall5_mean,ndcg5_mean,lat_mean_ms
naive,1.0,0.6944444444150463,1.0,0.8374661869467396,0.5153619069446256,414,1.0,0.63093,414,1966.435,414,0.724537037037037,0.5682367149440827,0.7536231884057971,0.7057029803898345,0.5155078160277541,0.7717391304347826,0.5785361521739131,2252.7027053140096
hybrid,1.0,0.6999999999708333,1.0,0.8755157221452552,0.5474791940302788,414,1.0,0.63093,414,2203.17,414,0.8707269381182424,0.6242451690453369,0.8043478260869565,0.7735771945480431,0.5444147709940609,0.6739130434782609,0.5572340652173914,2466.3495893719805
reranking,1.0,0.9999999999,1.0,0.8755554968046201,0.5977978144762993,414,1.0,0.63093,414,2963.435,414,0.8592995169082126,0.7958635265288312,0.9094202898550725,0.8027330987192758,0.6052966740314685,0.8260869565217391,0.6623102391304347,3142.0092995169084
hyde,1.0,0.3333333333,1.0,0.8305527101853992,0.40043069011350374,414,1.0,0.5,414,4974.6900000000005,414,0.6050782148608236,0.4070048308927918,0.6195652173913043,0.6737610078809542,0.45022863751429754,0.6268115942028986,0.4280088913043478,5140.6976328502415
adaptive,1.0,0.699999999965,1.0,0.8742150155711101,0.5415208121428586,414,1.0,0.63093,414,3254.26,414,0.816885208189556,0.6098530595465257,0.7584541062801933,0.7583547459483858,0.5154723251596184,0.6666666666666666,0.5533922463768116,3539.5841062801933
